iter	Passed	Remaining
402	13263	19647
403	13290	19606
404	13320	19570
405	13354	19538
406	13385	19502
407	13417	19468
408	13457	19446
409	13486	19407
410	13518	19373
411	13549	19338
412	13586	19310
413	13619	19277
414	13657	19252
415	13688	19217
416	13718	19179
417	13753	19149
418	13788	19119
419	13817	19081
420	13846	19042
421	13882	19014
422	13914	18980
423	13945	18944
424	13976	18909
425	14005	18870
426	14034	18833
427	14064	18795
428	14087	18750
429	14113	18708
430	14141	18668
431	14165	18624
432	14194	18587
433	14221	18547
434	14254	18515
435	14285	18478
436	14319	18448
437	14344	18405
438	14371	18365
439	14403	18331
440	14435	18298
441	14505	18312
442	14536	18276
443	14566	18241
444	14597	18206
445	14630	18173
446	14660	18137
447	14691	18102
448	14719	18063
449	14748	18026
450	14772	17983
451	14804	17949
452	14833	17911
453	14863	17874
454	14893	17839
455	14917	17796
456	14949	17762
457	14979	17727
458	15008	17689
459	15037	17653
460	15070	17619
461	15100	17584
462	15134	17552
463	15163	17516
464	15202	17491
465	15233	17456
466	15262	17418
467	15289	17380
468	15319	17344
469	15351	17311
470	15380	17274
471	15410	17238
472	15439	17202
473	15465	17162
474	15502	17134
475	15535	17101
476	15563	17064
477	15594	17030
478	15621	16991
479	15652	16956
480	15682	16921
481	15714	16888
482	15746	16854
483	15777	16820
484	15807	16784
485	15834	16746
486	15865	16712
487	15897	16679
488	15929	16646
489	15957	16608
490	15981	16567
491	16013	16534
492	16042	16498
493	16074	16464
494	16107	16433
495	16140	16400
496	16165	16360
497	16194	16324
498	16232	16297
499	16255	16255
500	16286	16221
501	16313	16183
502	16345	16150
503	16375	16115
504	16408	16083
505	16446	16056
506	16476	16021
507	16507	15987
508	16547	15962
509	16577	15927
510	16612	15897
511	16646	15865
512	16676	15831
513	16709	15799
514	16732	15758
515	16765	15725
516	16796	15691
517	16831	15661
518	16862	15628
519	16892	15593
520	16926	15561
521	16957	15527
522	16986	15492
523	17020	15461
524	17053	15428
525	17086	15397
526	17113	15360
527	17141	15323
528	17172	15289
529	17202	15255
530	17237	15224
531	17266	15189
532	17294	15153
533	17323	15117
534	17353	15082
535	17385	15050
536	17414	15014
537	17447	14983
538	17474	14945
539	17508	14914
540	17581	14916
541	17607	14878
542	17635	14842
543	17667	14809
544	17698	14775
545	17727	14740
546	17757	14705
547	17790	14673
548	17825	14643
549	17854	14608
550	17884	14573
551	17917	14541
552	17952	14511
553	17984	14478
554	18020	14448
555	18051	14415
556	18090	14388
557	18120	14353
558	18149	14318
559	18176	14281
560	18207	14248
561	18239	14215
562	18268	14180
563	18298	14145
564	18331	14113
565	18368	14084
566	18402	14053
567	18437	14023
568	18475	13994
569	18515	13967
570	18549	13936
571	18579	13901
572	18607	13866
573	18640	13834
574	18669	13799
575	18702	13767
