iter	Recall	Logloss
95	0.4128316188	0.6067741353
96	0.4128316188	0.6065987911
97	0.4133730374	0.6064788213
98	0.4138242195	0.6063252976
99	0.4146363472	0.6062232212
100	0.414365638	0.6060477742
101	0.415448475	0.6059433342
102	0.4159898935	0.6057712049
103	0.4161703664	0.6056543298
104	0.416531312	0.6053754614
105	0.417162967	0.6052358814
106	0.417162967	0.6050931653
107	0.4179750947	0.6049553381
108	0.4179750947	0.604789736
109	0.4177946219	0.6046428497
110	0.4177946219	0.6045569697
111	0.4188774589	0.6043914709
112	0.4198700596	0.6042038161
113	0.4198700596	0.6040694983
114	0.4205919509	0.6039427993
115	0.4205017145	0.6038490008
116	0.4205017145	0.6037907695
117	0.421043133	0.6035990899
118	0.4213138423	0.6034454028
119	0.4223064429	0.6033288749
120	0.4220357336	0.6032528698
121	0.4222162065	0.6031413988
122	0.4223966793	0.6030549992
123	0.4223966793	0.6029306566
124	0.4223966793	0.6028385083
125	0.4229380978	0.6027119387
126	0.4232990435	0.6025669694
127	0.4239306984	0.6024653534
128	0.423840462	0.602336799
129	0.4236599892	0.6022039601
130	0.4240209348	0.6021012271
131	0.4241111713	0.6019853385
132	0.4248330626	0.6018710749
133	0.4252842447	0.6016803054
134	0.4252842447	0.6015079398
135	0.424923299	0.6014103042
136	0.4259158997	0.6012297337
137	0.4259158997	0.601153261
138	0.4259158997	0.6010418719
139	0.4262768453	0.6009277253
140	0.4267280274	0.6007824117
141	0.4272694459	0.6006551696
142	0.4274499188	0.6005416959
143	0.4276303916	0.6004145434
144	0.4273596824	0.6002685883
145	0.4290741743	0.6001192265
146	0.42943512	0.6000008543
147	0.42943512	0.5998399245
148	0.42943512	0.5997669879
149	0.4295253564	0.5997085739
150	0.4295253564	0.5996036965
151	0.4297058293	0.5994932623
152	0.4292546472	0.5994227106
153	0.4296155929	0.5992922405
154	0.4298863021	0.5991963194
155	0.4301570114	0.5990376435
156	0.4304277206	0.598947422
157	0.430066775	0.5988321375
158	0.4301570114	0.5987590155
159	0.4306081935	0.5985848006
160	0.4309691391	0.5985076039
161	0.431149612	0.5984051815
162	0.4313300848	0.5983882554
163	0.4315105577	0.5982639359
164	0.4317812669	0.5981555138
165	0.4317812669	0.5980610862
166	0.4325031583	0.5979820812
167	0.4325031583	0.597896669
168	0.4325031583	0.5978489126
169	0.4321422126	0.5976839203
170	0.4326836311	0.5975642504
171	0.4331348132	0.5974432066
172	0.4332250496	0.5973097471
173	0.433946941	0.5972059643
174	0.4344883595	0.5971322302
175	0.4343981231	0.597086551
176	0.4341274138	0.5970021032
177	0.4346688323	0.5969376154
178	0.4344883595	0.5968754358
179	0.4343078867	0.5967616539
180	0.4355711965	0.5965974379
181	0.4354809601	0.5965020139
182	0.4354809601	0.5964631825
183	0.4360223786	0.5963156567
184	0.4362930879	0.5962061754
185	0.4362028515	0.5961469434
186	0.4365637971	0.5960485507
187	0.4363833243	0.595948893
188	0.4364735607	0.595825513
189	0.43674427	0.595715068
190	0.4369247428	0.5956331555
191	0.4373759249	0.5955393983
192	0.4380978163	0.5954255172
193	0.4380075799	0.5953196699
194	0.4381880527	0.5951931304
195	0.4390904169	0.5950714117
196	0.4390904169	0.5950011438
197	0.4391806533	0.5948817647
198	0.4391806533	0.5947986372
199	0.4394513626	0.5946787154
200	0.4398123082	0.5945078445
201	0.4399025447	0.594426385
202	0.4399927811	0.5943178412
203	0.4398123082	0.5942146657
204	0.4399025447	0.5940725866
205	0.4403537268	0.5939489836
206	0.4407146724	0.5938484127
207	0.440624436	0.5937744969
208	0.4404439632	0.5937171698
209	0.4409853817	0.5936282556
210	0.4409853817	0.5936227586
211	0.4417975095	0.5935230662
212	0.4417975095	0.5934785343
213	0.4417072731	0.5934181079
214	0.4413463274	0.5932969016
215	0.4413463274	0.5932183705
216	0.4410756181	0.5931237476
217	0.4417975095	0.5930320354
218	0.442338928	0.5928977449
219	0.442338928	0.5928076806
220	0.4420682187	0.5926829874
221	0.4424291644	0.5925605336
222	0.4426096372	0.5924850399
223	0.4429705829	0.592402922
224	0.443421765	0.5922882803
225	0.443421765	0.5921327066
226	0.4436924743	0.5920673726
227	0.44405342	0.5919018697
228	0.4436924743	0.5918164893
229	0.4442338928	0.5917249731
230	0.4442338928	0.5916274497
231	0.4446850749	0.5914686819
232	0.4453167298	0.5913190888
233	0.4450460206	0.5911984456
234	0.4457679119	0.5910213426
235	0.4463093304	0.5909134008
236	0.4467605125	0.5908049943
237	0.4475726403	0.5906949954
238	0.4475726403	0.5905879716
239	0.4473019311	0.5904728846
240	0.446850749	0.5903339395
241	0.4473921675	0.5902340445
242	0.4473921675	0.5901457854
243	0.4473921675	0.589967821
244	0.4474824039	0.5898253057
245	0.4482042953	0.5896593225
246	0.4478433496	0.589493301
247	0.447933586	0.5893994612
248	0.4482042953	0.5892436211
249	0.4484750045	0.5890601843
250	0.4486554774	0.5889319712
251	0.4489261866	0.588823755
252	0.4489261866	0.5886749211
253	0.4492871323	0.588537361
254	0.449648078	0.5884136599
255	0.4495578415	0.5882587782
256	0.4497383144	0.5881542275
257	0.4499187872	0.588036332
258	0.4504602057	0.5879091404
259	0.4505504422	0.5878086524
260	0.4509113878	0.5877130419
261	0.4508211514	0.5875745126
262	0.4515430428	0.5874830149
263	0.451813752	0.5873002356
264	0.4517235156	0.5871797982
265	0.4515430428	0.5870178619
266	0.451813752	0.586886401
267	0.4520844613	0.5866969414
268	0.4521746977	0.5865926383
269	0.4522649341	0.5864162023
270	0.4529868255	0.5862041679
271	0.4533477712	0.5860413586
272	0.4536184804	0.5859010197
273	0.4533477712	0.5857021349
274	0.4540696625	0.5855724088
275	0.4539794261	0.5854006578
276	0.4544306082	0.5852769357
277	0.4549720267	0.5851057554
278	0.4550622631	0.5848945089
279	0.4556036816	0.5847826416
280	0.4555134452	0.5846785331
281	0.456325573	0.584489894
282	0.4569572279	0.5843165445
283	0.4567767551	0.5840918405
284	0.4569572279	0.5839562089
285	0.45740841	0.5838381752
286	0.4574986465	0.5836834957
287	0.4581303014	0.5835309124
288	0.4579498286	0.5833366688
289	0.4582205378	0.5831343871
290	0.4589424292	0.5829793593
291	0.4593033748	0.582797925
292	0.4596643205	0.5826766437
293	0.4599350298	0.5825037968
294	0.4603862119	0.5823449873
295	0.4605666847	0.5822252397
296	0.4607471576	0.5820695286
297	0.4611081032	0.581880352
298	0.4621909403	0.581689187
299	0.4627323588	0.5815498364
300	0.4627323588	0.5813421481
301	0.4632737773	0.5811766017
302	0.4633640137	0.5810525547
303	0.4635444866	0.5809173119
304	0.4639054322	0.5807300405
305	0.4631835409	0.5805530889
306	0.4639956687	0.5803804438
307	0.4644468507	0.580237039
308	0.4646273236	0.5801660721
309	0.4656199242	0.5800104554
310	0.4653492149	0.5798856045
311	0.4660711063	0.5797037012
312	0.4661613427	0.5795141023
313	0.4666125248	0.5794051974
314	0.4668832341	0.5792176599
315	0.4671539433	0.5790917857
316	0.467514889	0.5789638018
317	0.4676051254	0.5788117088
318	0.4676051254	0.5786712936
319	0.4680563075	0.5785246607
320	0.4686879625	0.5783673249
321	0.4686879625	0.5782166335
322	0.4683270168	0.5780432034
323	0.4680563075	0.5778851782
324	0.4679660711	0.5777588876
325	0.4682367804	0.5775938185
326	0.4689586717	0.5774779972
327	0.4694098538	0.5772973144
328	0.4695903267	0.577146628
329	0.4695903267	0.5769894944
330	0.4704926909	0.5767958239
